group_key,n_members,avg_ret_6m,group_rs_6m,group_rs_100,group_rs_99,group_rank,group_grade
Communication Services | Advertising Agencies,40,2.818002292454024,2.3737970630672285,100.0,99.0,1,A
Healthcare | Biotechnology,594,0.534192537355047,1.7592155558929097,99.31506849315068,98.32191780821917,2,A
Basic Materials | Other Precious Metals & Mining,6,0.9144521365138892,1.4088916366947657,98.63013698630137,97.64383561643835,3,A
Basic Materials | Other Industrial Metals & Mining,24,0.4662825741582693,1.1326585326642464,97.94520547945206,96.96575342465754,4,A
Basic Materials | Gold,34,0.610722849719861,0.9597491096229822,97.26027397260275,96.28767123287672,5,A
Healthcare | Drug Manufacturers - Specialty & Generic,76,0.2626252458596164,0.9486150463796527,96.57534246575342,95.60958904109589,6,A
Basic Materials | Silver,3,0.6966708290799956,0.8566782372102906,95.8904109589041,94.93150684931506,7,A
Technology | Communication Equipment,42,0.707944791409358,0.8155850176566148,95.2054794520548,94.25342465753425,8,A
Basic Materials | Copper,4,0.6638782498350956,0.728311672666881,94.52054794520548,93.57534246575342,9,A
Basic Materials | Coking Coal,5,0.8864346341208122,0.6386967931716306,93.83561643835617,92.8972602739726,10,A
Technology | Semiconductor Equipment & Materials,27,0.7803328533262435,0.6068085230721452,93.15068493150685,92.21917808219177,11,A
Financial Services | Capital Markets,69,0.6395363112967355,0.5293829427574158,92.46575342465754,91.54109589041096,12,A
Utilities | Utilities - Independent Power Producers,4,0.27037193130230863,0.5130838253418343,91.78082191780823,90.86301369863014,13,A
Financial Services | Banks - Diversified,10,0.35402980000686857,0.4572141599810168,91.0958904109589,90.18493150684931,14,A
Basic Materials | Aluminum,4,0.5216534839238303,0.43121619941978356,90.41095890410958,89.5068493150685,15,A
Technology | Semiconductors,60,0.33823560187877044,0.4096898762985706,89.72602739726028,88.82876712328768,16,B
Energy | Uranium,5,0.3670986533518902,0.401670128197041,89.04109589041096,88.15068493150685,17,B
Consumer Cyclical | Luxury Goods,7,0.6436966948173305,0.3933859243369911,88.35616438356165,87.47260273972603,18,B
Industrials | Electrical Equipment & Parts,41,0.47036715392977957,0.35998789984000845,87.67123287671232,86.7945205479452,19,B
Consumer Cyclical | Department Stores,2,0.7070567633809877,0.3465527746646228,86.98630136986301,86.11643835616438,20,B
