symbol,last_date,last_close,ret_3m,ret_6m,ret_9m,ret_12m,onil_weighted_ret,avg_vol_50,avg_dollar_vol_50,rs_onil,rs_onil_99,group_key,n_members,avg_ret_6m,group_rs_6m,group_rs_99,group_rs_100,group_rank,group_grade,sales_growth,profit_margin,roe,smr_score,smr_grade
AACB,2026-01-09,10.300000190734863,0.0147783820534084,0.0177865916216695,0.0404040997593464,,0.0283432932984427,24822.0,255666.6047344208,43.96696696696696,43.96696696696696,Financial Services | Shell Companies,275,0.0850017768944817,0.0763944987740439,43.3972602739726,43.83561643835616,83,C,,,,,
AACBU,2026-01-09,10.579999923706056,0.0212355477142331,0.0281826980493791,0.0506455058925141,,0.0376773143871601,82.0,867.5599937438965,45.71771771771772,45.71771771771772,Financial Services | Shell Companies,275,0.0850017768944817,0.0763944987740439,43.3972602739726,43.83561643835616,83,C,,,,,
AACG,2026-01-09,0.8999999761581421,-0.3333333627677253,0.0227272511760063,0.0714285764969937,-0.042553214424603,-0.0422012288387915,20630.0,18566.99950814247,32.43843843843844,32.43843843843844,Consumer Defensive | Education & Training Services,43,-0.1718308194616273,-0.0696760280825764,18.98630136986301,19.17808219178082,119,E,,,,,
AAL,2026-01-09,15.989999771118164,0.3760757253526277,0.3085105909744796,0.4379496345034568,-0.0960995314650517,0.1817409987055522,54449362.0,870645285.9175301,66.41291291291292,66.41291291291292,Industrials | Airlines,17,0.27765982777143,0.2741598658800588,77.3013698630137,78.08219178082192,33,B,,,,,
AAME,2026-01-09,3.0299999713897705,0.0448275419818107,0.5149999856948853,1.2444443836133678,1.0513178884408323,0.8860957086037041,28074.0,85064.21919679642,91.07207207207207,91.07207207207207,Financial Services | Insurance - Life,21,0.1806112471641544,0.1562678434011419,61.7054794520548,62.32876712328768,56,C,,,,,
AAOI,2026-01-09,34.040000915527344,0.0515910422844534,0.1985915976321743,1.4542178223785354,0.032140733414308,0.4650057835595175,5374986.0,182964528.36094663,82.87987987987988,82.87987987987988,Technology | Communication Equipment,44,0.5129596360276595,0.7179209106664122,90.86301369863014,91.78082191780824,13,A,,,,,
AAON,2026-01-09,83.31999969482422,-0.1759672044436681,0.0869604683250842,0.016775950021288,-0.3050443805093825,-0.1386554253720222,1070338.0,89180561.83335876,24.873873873873872,24.873873873873872,Industrials | Building Products & Equipment,31,-0.1114386644980947,-0.0781955711000751,16.952054794520546,17.123287671232877,122,E,,,,,
AAPG,2026-01-09,28.780000686645508,-0.2223722779824961,-0.247384952316785,0.5147368782445003,,0.1399291315474298,4980.0,143324.40341949463,62.18468468468468,62.18468468468468,Healthcare | Biotechnology,606,0.4522048827913121,0.9933831588547531,92.8972602739726,93.83561643835615,10,A,,,,,
AAPL,2026-01-09,259.3699951171875,0.0219707140916467,0.2308963672635091,0.3088102235524321,0.0756907698933919,0.1567942625914566,45675322.0,11846808044.115969,64.21621621621622,64.21621621621622,Technology | Consumer Electronics,18,-0.0719233505438245,-0.162011139373346,9.493150684931509,9.58904109589041,133,E,,,,,
AARD,2026-01-09,14.270000457763672,-0.1398432594024009,0.1725554945197032,0.8318357545112529,,0.424095936034952,197436.0,2817411.8103790283,81.50900900900902,81.50900900900902,Healthcare | Biotechnology,606,0.4522048827913121,0.9933831588547531,92.8972602739726,93.83561643835615,10,A,,,,,
ABAT,2026-01-09,4.800000190734863,-0.2307691719875276,1.8571430598797505,3.819277339157673,1.1719457501727186,1.825823688103675,6814688.0,32710503.699798584,96.40690690690693,96.40690690690693,Industrials | Waste Management,19,0.0642979207013005,0.0881517491922248,45.43150684931507,45.89041095890411,80,C,,,,,
