symbol,company_name,exchange,is_etf,test_issue,source,updated_at_utc,symbol_key,group_key,sector,industry,sector_id,industry_id,simfin_company_name,industry_updated_at_utc
A,"Agilent Technologies, Inc. Common Stock",N,N,N,otherlisted,2025-12-18T14:02:48Z,A,106001.0,,,,106001.0,AGILENT TECHNOLOGIES INC,2025-12-18T14:02:48Z
AA,Alcoa Corporation Common Stock,N,N,N,otherlisted,2025-12-18T14:02:48Z,AA,110004.0,,,,110004.0,Alcoa Corp,2025-12-18T14:02:48Z
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,N,N,nasdaqlisted,2025-12-18T14:02:48Z,AACB,104002.0,,,,104002.0,Artius II Acquisition Inc. Class A Ordinary Shares,2025-12-18T14:02:48Z
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,N,N,nasdaqlisted,2025-12-18T14:02:48Z,AACG,102006.0,,,,102006.0,ATA Creativity Global,2025-12-18T14:02:48Z
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,N,N,nasdaqlisted,2025-12-18T14:02:48Z,AAL,100006.0,,,,100006.0,American Airlines Group Inc.,2025-12-18T14:02:48Z
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,N,N,N,otherlisted,2025-12-18T14:02:48Z,AAM,,,,,,"American Axle & Manufacturing Holdings, Inc.",2025-12-18T14:02:48Z
AAME,Atlantic American Corporation - Common Stock,NASDAQ,N,N,nasdaqlisted,2025-12-18T14:02:48Z,AAME,104004.0,,,,104004.0,ATLANTIC AMERICAN CORP,2025-12-18T14:02:48Z
AAMI,Acadian Asset Management Inc. Common Stock,N,N,N,otherlisted,2025-12-18T14:02:48Z,AAMI,,,,,,,2025-12-18T14:02:48Z
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,N,N,nasdaqlisted,2025-12-18T14:02:48Z,AAOI,101004.0,,,,101004.0,"APPLIED OPTOELECTRONICS, INC.",2025-12-18T14:02:48Z
AAON,"AAON, Inc. - Common Stock",NASDAQ,N,N,nasdaqlisted,2025-12-18T14:02:48Z,AAON,100001.0,,,,100001.0,AAON INC,2025-12-18T14:02:48Z
AAP,Advance Auto Parts Inc.,N,N,N,otherlisted,2025-12-18T14:02:48Z,AAP,103002.0,,,,103002.0,ADVANCE AUTO PARTS INC,2025-12-18T14:02:48Z
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,N,N,nasdaqlisted,2025-12-18T14:02:48Z,AAPG,,,,,,,2025-12-18T14:02:48Z
AAPL,Apple Inc. - Common Stock,NASDAQ,N,N,nasdaqlisted,2025-12-18T14:02:48Z,AAPL,101001.0,,,,101001.0,APPLE INC,2025-12-18T14:02:48Z
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,N,N,nasdaqlisted,2025-12-18T14:02:48Z,AARD,,,,,,,2025-12-18T14:02:48Z
AAT,"American Assets Trust, Inc. Common Stock",N,N,N,otherlisted,2025-12-18T14:02:48Z,AAT,109001.0,,,,109001.0,"American Assets Trust, Inc.",2025-12-18T14:02:48Z
AAUC,Allied Gold Corporation Common Shares,N,N,N,otherlisted,2025-12-18T14:02:48Z,AAUC,,,,,,,2025-12-18T14:02:48Z
ABAT,American Battery Technology Company - Common Stock,NASDAQ,N,N,nasdaqlisted,2025-12-18T14:02:48Z,ABAT,,,,,,,2025-12-18T14:02:48Z
ABBV,AbbVie Inc. Common Stock,N,N,N,otherlisted,2025-12-18T14:02:48Z,ABBV,106005.0,,,,106005.0,AbbVie Inc.,2025-12-18T14:02:48Z
ABCB,Ameris Bancorp Common Stock,N,N,N,otherlisted,2025-12-18T14:02:48Z,ABCB,104002.0,,,,104002.0,Ameris Bancorp,2025-12-18T14:02:48Z
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,N,N,nasdaqlisted,2025-12-18T14:02:48Z,ABCL,106002.0,,,,106002.0,AbCellera Biologics Inc.,2025-12-18T14:02:48Z
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,N,N,nasdaqlisted,2025-12-18T14:02:48Z,ABEO,106002.0,,,,106002.0,ABEONA THERAPEUTICS INC.,2025-12-18T14:02:48Z
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N,N,N,otherlisted,2025-12-18T14:02:48Z,ABEV,102004.0,,,,102004.0,Ambev S.A.,2025-12-18T14:02:48Z
ABG,Asbury Automotive Group Inc Common Stock,N,N,N,otherlisted,2025-12-18T14:02:48Z,ABG,103005.0,,,,103005.0,ASBURY AUTOMOTIVE GROUP INC,2025-12-18T14:02:48Z
ABL,"Abacus Global Management, Inc. - Class A Common Stock",NASDAQ,N,N,nasdaqlisted,2025-12-18T14:02:48Z,ABL,,,,,,,2025-12-18T14:02:48Z
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,N,N,nasdaqlisted,2025-12-18T14:02:48Z,ABLV,,,,,,,2025-12-18T14:02:48Z
ABM,ABM Industries Incorporated Common Stock,N,N,N,otherlisted,2025-12-18T14:02:48Z,ABM,100002.0,,,,100002.0,ABM INDUSTRIES INC /DE/,2025-12-18T14:02:48Z
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,N,N,nasdaqlisted,2025-12-18T14:02:48Z,ABNB,103015.0,,,,103015.0,"Airbnb, Inc.",2025-12-18T14:02:48Z
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,nasdaqlisted,2025-12-18T14:02:48Z,ABOS,106002.0,,,,106002.0,"Acumen Pharmaceuticals, Inc.",2025-12-18T14:02:48Z
ABP,"Abpro Holdings, Inc - Common Stock",NASDAQ,N,N,nasdaqlisted,2025-12-18T14:02:48Z,ABP,,,,,,,2025-12-18T14:02:48Z
